rawfile_id,timestamp,rawfile_name,sample_id,run_type,keep,batch,ome_id,Sample
629,1720768681.67723,20240708_WFB_Plate_07_1078_NPB,177,Sample,1,7,1,1078
630,1720772455.47763,20240708_WFB_Plate_07_1105-2_NPB,337,Sample,1,7,1,1105.2
631,1720775907.44411,20240708_WFB_Plate_07_QC_05,-1,QC,1,7,1,QC
632,1720779681.30238,20240708_WFB_Plate_07_PC1,-1,Control,1,7,1,PC1
633,1720783450.96401,20240708_WFB_Plate_07_DC,-1,Control,1,7,1,DC
634,1720787220.7233,20240708_WFB_Plate_07_MPE,-1,Control,1,7,1,MPE
635,1720790988.33477,20240708_WFB_Plate_07_PC2,-1,Control,1,7,1,PC2
636,1720794782.75007,20240708_WFB_Plate_07_MSControl,-1,Control,1,7,1,MSControl
637,1721186698.11141,20240716_WFB_Plate_09_QC_01,-1,QC,1,9,1,QC
638,1721190447.95835,20240716_WFB_Plate_09_1024_NPA,124,Sample,1,9,1,1024
639,1721194196.41922,20240716_WFB_Plate_09_NC2_NPA,382,Sample,1,9,1,NC2
640,1721197945.88759,20240716_WFB_Plate_09_96_NPA,94,Sample,1,9,1,96
641,1721201693.44814,20240716_WFB_Plate_09_H7_NPA,294,Sample,1,9,1,H7
642,1721205441.11677,20240716_WFB_Plate_09_1152-2_NPA,372,Sample,1,9,1,1152.2
643,1721209190.5597,20240716_WFB_Plate_09_H18_NPA,305,Sample,1,9,1,H18
644,1721212940.09997,20240716_WFB_Plate_09_15_NPA,14,Sample,1,9,1,15
645,1721216689.71869,20240716_WFB_Plate_09_1077_NPA,176,Sample,1,9,1,1077
646,1721220438.80904,20240716_WFB_Plate_09_1001_NPA,101,Sample,1,9,1,1001
647,1721224186.83634,20240716_WFB_Plate_09_1158-2_NPA,375,Sample,1,9,1,1158.2
648,1721227938.53776,20240716_WFB_Plate_09_25_NPA,24,Sample,1,9,1,25
649,1721231685.81898,20240716_WFB_Plate_09_1061_NPA,160,Sample,1,9,1,1061
650,1721235433.42364,20240716_WFB_Plate_09_1120-2_NPA,351,Sample,1,9,1,1120.2
651,1721239180.75519,20240716_WFB_Plate_09_1124-2_NPA,353,Sample,1,9,1,1124.2
652,1721242928.30139,20240716_WFB_Plate_09_1029_NPA,129,Sample,1,9,1,1029
653,1721246677.76623,20240716_WFB_Plate_09_1164_NPA,262,Sample,1,9,1,1164
654,1721250425.30992,20240716_WFB_Plate_09_2001-58_NPA,315,Sample,1,9,1,2001.58
655,1721316930.92552,20240716_WFB_Plate_09_29_NPA,28,Sample,1,9,1,29
656,1721320682.53026,20240716_WFB_Plate_09_1096_NPA,195,Sample,1,9,1,1096
657,1721324429.51169,20240716_WFB_Plate_09_18_NPA,17,Sample,1,9,1,18
658,1721327861.22814,20240716_WFB_Plate_09_QC_02,-1,QC,1,9,1,QC
659,1721331606.96265,20240716_WFB_Plate_09_37_NPA,36,Sample,1,9,1,37
660,1721335352.9832,20240716_WFB_Plate_09_2007-57_NPA,321,Sample,1,9,1,2007.57
661,1721339101.06273,20240716_WFB_Plate_09_1116-2_NPA,347,Sample,1,9,1,1116.2
662,1721342847.01491,20240716_WFB_Plate_09_H8_NPA,295,Sample,1,9,1,H8
663,1721346596.23004,20240716_WFB_Plate_09_1138_NPA,236,Sample,1,9,1,1138
664,1721350344.20649,20240716_WFB_Plate_09_81_NPA,79,Sample,1,9,1,81
665,1721354089.74554,20240716_WFB_Plate_09_1044_NPA,144,Sample,1,9,1,1044
666,1721357834.71098,20240716_WFB_Plate_09_39_NPA,38,Sample,1,9,1,39
667,1721361582.04482,20240716_WFB_Plate_09_1155_NPA,253,Sample,1,9,1,1155
668,1721365329.63483,20240716_WFB_Plate_09_1063_NPA,162,Sample,1,9,1,1063
669,1721369077.30751,20240716_WFB_Plate_09_30_NPA,29,Sample,1,9,1,30
670,1721372826.75702,20240716_WFB_Plate_09_1059_NPA,158,Sample,1,9,1,1059
671,1721376572.82516,20240716_WFB_Plate_09_NC7_NPA,387,Sample,1,9,1,NC7
672,1721380320.51877,20240716_WFB_Plate_09_1058_NPA,157,Sample,1,9,1,1058
673,1721384070.06438,20240716_WFB_Plate_09_1163_NPA,261,Sample,1,9,1,1163
674,1721387817.64954,20240716_WFB_Plate_09_1090_NPA,189,Sample,1,9,1,1090
675,1721391567.1135,20240716_WFB_Plate_09_1056_NPA,155,Sample,1,9,1,1056
676,1721395314.71882,20240716_WFB_Plate_09_61_NPA,59,Sample,1,9,1,61
677,1721399064.87115,20240716_WFB_Plate_09_1028_NPA,128,Sample,1,9,1,1028
678,1721402816.26315,20240716_WFB_Plate_09_1174_NPA,272,Sample,1,9,1,1174
679,1721406248.64135,20240716_WFB_Plate_09_QC_03,-1,QC,1,9,1,QC
680,1721409998.66146,20240716_WFB_Plate_09_1024_NPB,124,Sample,1,9,1,1024
681,1721437024.28444,20240716_WFB_Plate_09_NC2_NPB,382,Sample,1,9,1,NC2
682,1721440770.20631,20240716_WFB_Plate_09_96_NPB,94,Sample,1,9,1,96
683,1721444516.69732,20240716_WFB_Plate_09_H7_NPB,294,Sample,1,9,1,H7
684,1721448267.3417,20240716_WFB_Plate_09_1152-2_NPB,372,Sample,1,9,1,1152.2
685,1721452015.06094,20240716_WFB_Plate_09_H18_NPB,305,Sample,1,9,1,H18
686,1721455765.19043,20240716_WFB_Plate_09_15_NPB,14,Sample,1,9,1,15
687,1721459512.89797,20240716_WFB_Plate_09_1077_NPB,176,Sample,1,9,1,1077
688,1721463262.55518,20240716_WFB_Plate_09_1001_NPB,101,Sample,1,9,1,1001
689,1721467012.21052,20240716_WFB_Plate_09_1158-2_NPB,375,Sample,1,9,1,1158.2
690,1721470762.34285,20240716_WFB_Plate_09_25_NPB,24,Sample,1,9,1,25
