rawfile_name_R,rawfile_name,rawfile_id,sample_id,sample,run_type,DilutionConcentration,batch,ome_id,keep,timestamp
X20240729_SIA_Batch6_1167.raw,20240729_SIA_Batch6_1167.raw,1124,265,1167,Sample,NA,6,2,1,37:25.0
X20240729_SIA_Batch6_1183.raw,20240729_SIA_Batch6_1183.raw,1140,281,1183,Sample,NA,6,2,1,23:54.1
X20240729_SIA_Batch6_16.raw,20240729_SIA_Batch6_16.raw,918,15,16,Sample,NA,6,2,0; low extracted volume,49:46.4
X20240729_SIA_Batch6_2009_56.raw,20240729_SIA_Batch6_2009_56.raw,1200,323,2009.56,Sample,NA,6,2,1,38:00.1
X20240729_SIA_Batch6_2011_101.raw,20240729_SIA_Batch6_2011_101.raw,1202,325,2011.101,Sample,NA,6,2,1,39:45.4
X20240729_SIA_Batch6_22.raw,20240729_SIA_Batch6_22.raw,924,21,22,Sample,NA,6,2,1,22:45.6
X20240729_SIA_Batch6_42.raw,20240729_SIA_Batch6_42.raw,938,41,42,Sample,NA,6,2,1,40:55.8
X20240729_SIA_Batch6_51.raw,20240729_SIA_Batch6_51.raw,945,50,51,Sample,NA,6,2,1,05:40.4
X20240729_SIA_Batch6_54.raw,20240729_SIA_Batch6_54.raw,947,53,54,Sample,NA,6,2,1,51:29.8
X20240729_SIA_Batch6_58.raw,20240729_SIA_Batch6_58.raw,951,57,58,Sample,NA,6,2,0;  low extracted volume,41:30.8
X20240729_SIA_Batch6_8.raw,20240729_SIA_Batch6_8.raw,913,8,8,Sample,NA,6,2,1,38:35.3
X20240729_SIA_Batch6_86.raw,20240729_SIA_Batch6_86.raw,973,84,86,Sample,NA,6,2,1,07:25.6
X20240729_SIA_Batch6_Control_rep1.raw,20240729_SIA_Batch6_Control_rep1.raw,1213,-1,Blank,QcRep,NA,6,2,1,42:06.1
X20240729_SIA_Batch6_Control_rep2.raw,20240729_SIA_Batch6_Control_rep2.raw,1223,-1,Blank,QcRep,NA,6,2,1,26:14.8
X20240729_SIA_Batch6_Control_rep3.raw,20240729_SIA_Batch6_Control_rep3.raw,1233,-1,Blank,QcRep,NA,6,2,1,09:11.1
X20240729_SIA_Batch6_Control_Rep4.raw,20240729_SIA_Batch6_Control_Rep4.raw,1243,-1,Blank,QcRep,NA,6,2,1,53:17.4
X20240729_SIA_Batch6_Control_rep5.raw,20240729_SIA_Batch6_Control_rep5.raw,1253,-1,Blank,QcRep,NA,6,2,1,46:11.8
X20240729_SIA_Batch6_Dilution_0p125x.raw,20240729_SIA_Batch6_Dilution_0p125x.raw,1259,-1,Blank,QcDilution,12.5,6,2,1,56:11.9
X20240729_SIA_Batch6_Dilution_0p25x.raw,20240729_SIA_Batch6_Dilution_0p25x.raw,1260,-1,Blank,QcDilution,25,6,2,1,55:36.8
X20240729_SIA_Batch6_Dilution_0p5x.raw,20240729_SIA_Batch6_Dilution_0p5x.raw,1261,-1,Blank,QcDilution,50,6,2,1,55:01.8
X20240729_SIA_Batch6_Dilution_0p75x.raw,20240729_SIA_Batch6_Dilution_0p75x.raw,1262,-1,Blank,QcDilution,75,6,2,1,54:26.6
X20240729_SIA_Batch6_Dilution_0x.raw,20240729_SIA_Batch6_Dilution_0x.raw,1263,-1,Blank,QcDilution,1,6,2,1,56:49.2
X20240729_SIA_Batch6_Dilution_1x.raw,20240729_SIA_Batch6_Dilution_1x.raw,1264,-1,Blank,QcDilution,100,6,2,1,53:49.5
X20240729_SIA_Batch6_ExtractionBlank_rep2.raw,20240729_SIA_Batch6_ExtractionBlank_rep2.raw,1265,-1,Blank,SamplePrepBlank,NA,6,2,1,46:47.0
X20240729_SIA_Batch6_H23.raw,20240729_SIA_Batch6_H23.raw,1281,310,H23,Sample,NA,6,2,1,05:05.0
X20240729_SIA_Batch6_H9.raw,20240729_SIA_Batch6_H9.raw,1290,296,H9,Sample,NA,6,2,1,50:54.7
X20240729_SIA_Batch6_NC3.raw,20240729_SIA_Batch6_NC3.raw,1300,383,NC3,Sample,NA,6,2,1,08:00.8
X20240729_SIA_Batch6_PooledControl_rep1.raw,20240729_SIA_Batch6_PooledControl_rep1.raw,1307,-1,Blank,QcRep,NA,6,2,1,53:14.6
