"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"589","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1169_NPA.raw",10629816381,FALSE,666,2024-07-10 01:14:53.815636,2024-07-10 10:25:29.834593,2024-07-29 17:40:27.138775,"no","20240708_WFB_Plate_07_1169_NPA",274,"1169"
"619","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_H19_NPA.raw",10327979200,FALSE,666,2024-07-10 02:17:41.845301,2024-07-10 10:23:58.569376,2024-07-29 18:28:18.376163,"no","20240708_WFB_Plate_07_H19_NPA",275,"H19"
"565","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1094_NPA.raw",10632791351,FALSE,666,2024-07-10 03:20:33.033352,2024-07-10 10:22:24.440958,2024-07-29 17:03:09.537281,"no","20240708_WFB_Plate_07_1094_NPA",276,"1094"
"577","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1136_NPA.raw",8970160839,FALSE,666,2024-07-10 04:23:27.009596,2024-07-10 10:21:01.441687,2024-07-29 17:21:50.771154,"no","20240708_WFB_Plate_07_1136_NPA",277,"1136"
"547","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1004_NPA.raw",10188702364,FALSE,666,2024-07-10 05:26:16.60117,2024-07-10 10:19:26.02879,2024-07-29 16:34:40.021053,"no","20240708_WFB_Plate_07_1004_NPA",278,"1004"
"563","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1078_NPA.raw",9701286918,FALSE,666,2024-07-10 06:29:04.333065,2024-07-10 10:17:53.982075,2024-07-29 17:00:05.454941,"no","20240708_WFB_Plate_07_1078_NPA",279,"1078"
"569","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1105-2_NPA.raw",9076748463,FALSE,666,2024-07-10 07:31:54.223871,2024-07-10 10:15:08.154188,2024-07-29 17:09:43.446011,"no","20240708_WFB_Plate_07_1105-2_NPA",280,"1105.2"
"729","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1024_NPA.raw",9750223132,FALSE,666,2024-07-16 23:27:27.958347,2024-07-17 09:36:29.671005,2024-08-02 12:33:24.110994,"no","20240716_WFB_Plate_09_1024_NPA",281,"1024"
"803","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_NC2_NPA.raw",10165487000,FALSE,666,2024-07-17 00:29:56.41922,2024-07-17 09:34:35.984402,2024-08-02 14:19:14.925587,"no","20240716_WFB_Plate_09_NC2_NPA",282,"NC2"
"795","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_96_NPA.raw",10390023120,FALSE,666,2024-07-17 01:32:25.887594,2024-07-17 09:32:39.211372,2024-08-02 14:06:59.340971,"no","20240716_WFB_Plate_09_96_NPA",283,"96"
"799","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_H7_NPA.raw",10244624909,FALSE,666,2024-07-17 02:34:53.448135,2024-07-17 09:30:43.516335,2024-08-02 14:13:29.144119,"no","20240716_WFB_Plate_09_H7_NPA",284,"H7"
"761","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1152-2_NPA.raw",9612629138,FALSE,666,2024-07-17 03:37:21.11677,2024-07-17 09:28:57.439571,2024-08-02 13:18:47.286945,"no","20240716_WFB_Plate_09_1152-2_NPA",285,"1152.2"
