"","Sample","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","Set","Observation"
"67","1058","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1058_NPB.raw",10242475412,FALSE,666,2024-07-21 06:13:47.336239,2024-07-21 17:32:34.600798,2024-08-02 12:48:08.898514,"no","20240716_WFB_Plate_09_1058_NPB","PASC",""
"68","1059","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1059_NPB.raw",9912414030,FALSE,666,2024-07-21 04:08:45.201019,2024-07-21 17:35:30.925468,2024-08-02 12:51:07.027533,"no","20240716_WFB_Plate_09_1059_NPB","PASC",""
"69","1060","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1060_NPB.raw",10311585135,FALSE,666,2024-07-10 23:09:11.05064,2024-07-11 09:53:43.75107,2024-07-29 16:58:27.44021,"no","20240708_WFB_Plate_07_1060_NPB","PASC","Viscous"
"70","1061","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1061_NPB.raw",10381152884,FALSE,666,2024-07-20 06:21:52.356022,2024-07-20 16:45:46.476212,2024-08-02 12:54:01.666178,"no","20240716_WFB_Plate_09_1061_NPB","PASC",""
"71","1062","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1062_NPB.raw",6762636262,FALSE,666,2024-06-15 02:50:47.179789,2024-06-15 17:53:14.508236,2024-07-29 19:11:46.252583,"no","20240612_WFB_Plate_01_1062_NPB","PASC",""
"72","1063","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1063_NPB.raw",9379685663,FALSE,666,2024-07-21 02:03:43.547964,2024-07-21 17:38:40.061844,2024-08-02 12:56:51.721975,"no","20240716_WFB_Plate_09_1063_NPB","PASC","Viscous"
"73","1064","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240721_Plate_10/Samples/20240721_WFB_Plate_10_1064_NPB.raw",9200484544,FALSE,666,2024-07-24 20:59:39.591557,2024-07-25 14:11:05.508987,2024-08-02 12:14:48.913858,"no","20240721_WFB_Plate_10_1064_NPB","PASC","Reddish, Cloudy"
"74","1065","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240721_Plate_10/Samples/20240721_WFB_Plate_10_1065_NPB.raw",11766912208,FALSE,666,2024-07-26 05:33:32.551535,2024-07-26 17:38:44.8734,2024-08-02 12:22:45.174664,"no","20240721_WFB_Plate_10_1065_NPB","PASC",""
"75","1066","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/Samples/20240620_WFB_Plate_03_1066_NPB.raw",8158811566,FALSE,666,2024-06-24 05:43:28.74387,2024-06-24 09:02:04.739908,2024-07-29 22:27:08.38574,"no","20240620_WFB_Plate_03_1066_NPB","PASC",""
"76","1067","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/Samples/20240626_WFB_Plate_04_1067_NPB.raw",9078197288,FALSE,666,2024-06-28 09:31:27.693581,2024-06-29 09:53:05.340525,2024-07-30 00:15:20.307663,"no","20240626_WFB_Plate_04_1067_NPB","PASC","Reddish"
"77","1068","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/Samples/20240630_WFB_Plate_05_1068_NPB.raw",7024141353,FALSE,666,2024-07-03 09:00:35.716648,2024-07-04 09:31:04.509874,2024-07-30 02:38:39.951075,"no","20240630_WFB_Plate_05_1068_NPB","PASC",""
"78","1069","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1069_NPB.raw",7181040608,FALSE,666,2024-06-15 19:22:57.754908,2024-06-16 12:03:32.546099,2024-07-29 19:13:49.356886,"no","20240612_WFB_Plate_01_1069_NPB","PASC",""
"79","1070","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1070_NPB.raw",7594881613,FALSE,666,2024-06-18 13:27:58.441595,2024-06-19 10:25:24.712162,2024-07-29 20:41:07.317366,"no","20240615_WFB_Plate_02_1070_NPB","PASC",""
